"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"Virus Taller TDLComputación - Juan Morales.nlogox"
"experimento_final"
"05/30/2026 22:43:21:976 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-17","17","-17","17"
"[run number]","infectiousness","[step]","count turtles with [sick?]"
"250","50","500","97"
"251","60","500","75"
"252","60","500","30"
"253","60","500","65"
"254","60","500","61"
"255","60","500","57"
"256","60","500","22"
"257","60","500","55"
"258","60","500","39"
"259","60","500","64"
"260","60","500","61"
"261","60","500","36"
"262","60","500","62"
"263","60","500","76"
"264","60","500","49"
"265","60","500","55"
"266","60","500","42"
"267","60","500","58"
"268","60","500","92"
"269","60","500","40"
"270","60","500","55"
"271","60","500","96"
"272","60","500","35"
"273","60","500","46"
"274","60","500","48"
"275","60","500","52"
"276","60","500","43"
"277","60","500","68"
"278","60","500","60"
"279","60","500","54"
"280","60","500","39"
"281","60","500","39"
"282","60","500","50"
"283","60","500","72"
"284","60","500","69"
"285","60","500","25"
"286","60","500","49"
"287","60","500","13"
"288","60","500","34"
"289","60","500","25"
"290","60","500","29"
"291","60","500","70"
"292","60","500","35"
"293","60","500","27"
"294","60","500","48"
"295","60","500","56"
"296","60","500","61"
"297","60","500","39"
"298","60","500","67"
"299","60","500","28"
"300","60","500","28"
"301","70","500","47"
"302","70","500","63"
"303","70","500","63"
"304","70","500","36"
"305","70","500","27"
"306","70","500","38"
"307","70","500","46"
"308","70","500","49"
"309","70","500","74"
"310","70","500","43"
"311","70","500","65"
"312","70","500","44"
"313","70","500","89"
"314","70","500","52"
"315","70","500","40"
"316","70","500","35"
"317","70","500","59"
"318","70","500","46"
"319","70","500","38"
"320","70","500","61"
"321","70","500","37"
"322","70","500","65"
"323","70","500","37"
"324","70","500","26"
"325","70","500","70"
"326","70","500","54"
"327","70","500","34"
"328","70","500","69"
"329","70","500","35"
"330","70","500","123"
"331","70","500","35"
"332","70","500","60"
"333","70","500","15"
"334","70","500","23"
"335","70","500","37"
"336","70","500","55"
"337","70","500","69"
"338","70","500","116"
"339","70","500","67"
"340","70","500","48"
"341","70","500","47"
"342","70","500","50"
"343","70","500","85"
"344","70","500","59"
"345","70","500","102"
"346","70","500","70"
"347","70","500","72"
"348","70","500","72"
"349","70","500","56"
"350","70","500","51"
"351","80","500","58"
"352","80","500","72"
"353","80","500","77"
"354","80","500","45"
"355","80","500","47"
"356","80","500","27"
"357","80","500","31"
"358","80","500","59"
"359","80","500","40"
"360","80","500","87"
"361","80","500","32"
"362","80","500","16"
"363","80","500","57"
"364","80","500","23"
"365","80","500","54"
"366","80","500","39"
"367","80","500","90"
"368","80","500","36"
"369","80","500","34"
"370","80","500","63"
"371","80","500","31"
"372","80","500","13"
"373","80","500","9"
"374","80","500","28"
"375","80","500","66"
"376","80","500","58"
"377","80","500","19"
"378","80","500","17"
"379","80","500","88"
"380","80","500","61"
"381","80","500","25"
"382","80","500","45"
"383","80","500","56"
"202","50","500","43"
"384","80","500","63"
"385","80","500","80"
"387","80","500","78"
"388","80","500","57"
"389","80","500","49"
"390","80","500","124"
"391","80","500","44"
"392","80","500","36"
"393","80","500","25"
"394","80","500","28"
"395","80","500","61"
"396","80","500","31"
"397","80","500","63"
"398","80","500","14"
"399","80","500","64"
"400","80","500","42"
"401","90","500","94"
"402","90","500","31"
"403","90","500","75"
"404","90","500","49"
"405","90","500","34"
"406","90","500","136"
"407","90","500","89"
"408","90","500","65"
"409","90","500","33"
"410","90","500","138"
"411","90","500","164"
"412","90","500","98"
"413","90","500","3"
"414","90","500","20"
"415","90","500","28"
"416","90","500","80"
"417","90","500","61"
"418","90","500","114"
"419","90","500","39"
"420","90","500","13"
"421","90","500","94"
"422","90","500","47"
"423","90","500","72"
"424","90","500","63"
"425","90","500","35"
"426","90","500","108"
"427","90","500","45"
"428","90","500","45"
"429","90","500","146"
"430","90","500","95"
"431","90","500","96"
"432","90","500","120"
"433","90","500","17"
"434","90","500","133"
"435","90","500","38"
"436","90","500","34"
"437","90","500","101"
"438","90","500","59"
"439","90","500","66"
"440","90","500","94"
"441","90","500","47"
"442","90","500","46"
"443","90","500","114"
"444","90","500","43"
"445","90","500","57"
"446","90","500","122"
"447","90","500","52"
"448","90","500","11"
"449","90","500","129"
"450","90","500","54"
"386","80","500","52"
